"CELEX_ID","Date","Force","Date_force","Citation","Date_end"
"32002L0098","2003-01-27","true","2003-02-08","31996Y1211(01)","2027-08-06"
"31999L0070","1999-06-28","true","1999-07-10","41994X1223","9999-12-31"
"31992L0119","1992-12-17","false","1993-01-08","31988D0397","2021-04-20"
"32000L0027","2000-05-02","false","2000-05-13","11997D/PRO/13","2008-07-31"
"31973L0148","1973-05-21","false","1973-05-23","31964L0240","2006-04-29"
"31979L0173","1979-02-06","false","1979-02-09","31970R0729","1985-12-31"
"31982L0436","1982-06-24","false","1982-07-03","31970R0729","1984-01-01"
"31972L0159","1972-04-17","true","1972-04-19","31970R0729","9999-12-31"
"31964L0432","1964-06-26","false","1964-06-30","11957E036","2021-04-20"
"31999L0070","1999-06-28","true","1999-07-10","11997E136","9999-12-31"
"32003L0096","2003-10-27","true","2003-10-31","31992L0083","9999-12-31"
"31992L0084","1992-10-19","true","1992-11-10","31992L0083","9999-12-31"
"31967L0548","1967-06-27","false","1967-06-29","11957E031","2015-05-31"
"32017L0828","2017-05-17","true","2017-06-09","32004L0109","9999-12-31"
"32011L0061","2011-06-08","true","2011-07-21","32004L0109","2019-01-12"
"32011L0061","2011-06-08","true","2011-07-21","32004L0109","9999-12-31"
"32003L0055","2003-06-26","false","2003-08-04","31989R4064","2011-03-02"
"31995L0498","1995-11-23","true","1995-11-30","31968R0805","9999-12-31"
"32017L0828","2017-05-17","true","2017-06-09","32014R0596","9999-12-31"
"32011L0061","2011-06-08","true","2011-07-21","32004L0025","2019-01-12"
"32011L0061","2011-06-08","true","2011-07-21","32004L0025","9999-12-31"
"31993L0038","1993-06-14","false","1993-07-01","11957E030","2004-04-29"
"31995L0051","1995-10-18","false","1996-01-01","11992E086","2003-07-24"
"32005L0033","2005-07-06","false","2005-08-11","32001L0081","2016-06-09"
"31967L0548","1967-06-27","false","1967-06-29","11957E032","2015-05-31"
"32004L0068","2004-04-26","false","2004-05-20","32002L0099","2021-04-20"
"31980L0215","1980-01-22","false","1980-01-24","31972L0461","2005-12-31"
"32016L1214","2016-07-25","true","2016-08-15","32001L0083","9999-12-31"
"31999L0070","1999-06-28","true","1999-07-10","11997E249","9999-12-31"
"31990L0167","1990-03-26","false","1990-04-06","31986L0469","2022-01-27"
"32005L0036","2005-09-07","true","2005-10-20","31995L0046","9999-12-31"
"32004L0109","2004-12-15","true","2005-01-20","31995L0046","2026-12-04"
"32004L0109","2004-12-15","true","2005-01-20","31995L0046","9999-12-31"
"32002L0098","2003-01-27","true","2003-02-08","31995L0046","2027-08-06"
"32015L0849","2015-05-20","true","2015-06-25","31995L0046","2027-07-09"
"32003L0098","2003-11-17","false","2003-12-31","31995L0046","2021-07-16"
"32003L0125","2003-12-22","false","2003-12-24","31995L0046","2016-07-02"
"31996L0009","1996-03-11","true","1996-04-16","31995L0046","9999-12-31"
"32011L0061","2011-06-08","true","2011-07-21","31995L0046","2019-01-12"
"31978L0660","1978-07-25","false","1978-07-31","31977L0091","2013-07-18"
"31983L0349","1983-06-13","false","1983-06-29","31977L0091","2013-07-18"
"32011L0061","2011-06-08","true","2011-07-21","31977L0091","2019-01-12"
"31994L0033","1994-06-22","true","1994-09-09","31967L0548","9999-12-31"
"31998L0024","1998-04-07","true","1998-05-25","31967L0548","2006-02-15"
"31998L0024","1998-04-07","true","1998-05-25","31967L0548","2011-01-04"
"31998L0024","1998-04-07","true","1998-05-25","31967L0548","9999-12-31"
"31999L0045","1999-05-31","false","1999-01-01","31967L0548","2015-05-31"
"31999L0045","1999-05-31","false","1999-07-30","31967L0548","2015-05-31"
"31991L0155","1991-03-05","false","1991-03-22","31967L0548","2007-05-31"
"31991L0414","1991-07-15","false","1991-07-26","31967L0548","2011-06-13"
"32005L0056","2005-10-26","false","2005-12-15","32004R0139","2017-07-19"
"31989L0014","1988-12-15","true","1988-12-15","31987L0481","9999-12-31"
"31980L1095","1980-11-11","false","1980-11-20","31964L0432","2021-04-20"
"31980L0215","1980-01-22","false","1980-01-24","31964L0432","2005-12-31"
"32004L0068","2004-04-26","false","2004-05-20","31964L0432","2021-04-20"
"31966L0683","1966-11-07","true","1966-11-09","11957E037","9999-12-31"
"32017L0828","2017-05-17","true","2017-06-09","32010R1095","9999-12-31"
"32015L0849","2015-05-20","true","2015-06-25","32010R1095","2027-07-09"
"32014L0091","2014-07-23","true","2014-09-17","32010R1095","9999-12-31"
"32010L0078","2010-11-24","false","2011-01-04","32010R1095","2018-01-02"
"32005L0036","2005-09-07","true","2005-10-20","31977L0388","9999-12-31"
"31980L0215","1980-01-22","false","1980-01-24","31980L0215","2005-12-31"
"31996L0027","1996-05-20","false","1996-07-28","31976L0115","2014-10-31"
"31977L0388","1977-05-17","false","1977-05-23","31968R1496","2006-12-31"
"32000L0060","2000-10-23","true","2000-12-22","31993R0793","9999-12-31"
"31994L0033","1994-06-22","true","1994-09-09","31989L0391","9999-12-31"
"31998L0024","1998-04-07","true","1998-05-25","31989L0391","2006-02-15"
"31998L0024","1998-04-07","true","1998-05-25","31989L0391","2011-01-04"
"31998L0024","1998-04-07","true","1998-05-25","31989L0391","9999-12-31"
"32002L0044","2002-06-25","true","2002-07-06","31989L0391","9999-12-31"
"32003L0010","2003-02-06","true","2003-02-15","31989L0391","9999-12-31"
"31966L0683","1966-11-07","true","1966-11-09","11957E009","9999-12-31"
"32001L0059","2001-08-06","false","2001-08-24","31999L0045","2015-05-31"
