CELEX_ID,Date,Title
32024R3117,2024-11-29,Commission Implementing Regulation (EU) 2024/3117 of 29 November 2024 laying down implementing technical standards for the application of Regulation (EU) No 575/2013 of the European Parliament and of the Council with regard to supervisory reporting of institutions and repealing Commission Implementing Regulation (EU) 2021/451
32024R0209,2024-01-10,Commission Implementing Regulation (EU) 2024/209 of 10 January 2024 imposing a definitive anti-dumping duty and definitively collecting the provisional duty imposed on imports of steel bulb flats originating in the People’s Republic of China and Türkiye
32024R1052,2024-04-10,Commission Implementing Regulation (EU) 2024/1052 of 10 April 2024 authorising the placing on the market of calcidiol monohydrate as a novel food and amending Implementing Regulation (EU) 2017/2470
32024R1866,2024-07-03,Commission Implementing Regulation (EU) 2024/1866 of 3 July 2024 imposing a provisional countervailing duty on imports of new battery electric vehicles designed for the transport of persons originating in the People’s Republic of China
32024R1820,2024-07-01,Commission Implementing Regulation (EU) 2024/1820 of 1 July 2024 amending the implementing technical standards laid down in Implementing Regulation (EU) 2016/1800 as regards the mapping tables specifying the allocation of credit assessments of external credit assessment institutions to an objective scale of credit quality steps in accordance with Directive 2009/138/EC of the European Parliament and of the Council
32024R1037,2024-04-09,Commission Implementing Regulation (EU) 2024/1037 of 9 April 2024 authorising the placing on the market of monosodium salt of L-5-methyltetrahydrofolic acid as a novel food and amending Implementing Regulation (EU) 2017/2470
32024R1045,2024-04-09,Commission Implementing Regulation (EU) 2024/1045 of 9 April 2024 amending Regulation (EC) No 333/2007 as regards the methods of sampling and analysis for the control of levels of nickel in foodstuffs and amending certain references
32024R0404,2024-01-30,"Commission Implementing Regulation (EU) 2024/404 of 30 January 2024 amending Implementing Regulation (EU) No 923/2012 as regards the updates of relevant ICAO provisions, the completion of the radio communication failure procedure and removing the supplement to the Annex to that Regulation"
32024R1026,2024-04-08,Commission Implementing Regulation (EU) 2024/1026 of 8 April 2024 amending Implementing Regulation (EU) 2017/2470 as regards the specifications of the novel food astaxanthin-rich oleoresin from Haematococcus pluvialis algae
32024R1023,2024-04-08,Commission Implementing Regulation (EU) 2024/1023 of 8 April 2024 amending Implementing Regulation (EU) 2017/2470 as regards the conditions of use of the novel food lactitol
32024R1046,2024-04-09,Commission Implementing Regulation (EU) 2024/1046 of 9 April 2024 authorising the placing on the market of beta-glucan from Euglena gracilis microalgae as a novel food and amending Implementing Regulation (EU) 2017/2470
32024R1048,2024-04-09,Commission Implementing Regulation (EU) 2024/1048 of 9 April 2024 authorising the placing on the market of protein concentrate from Lemna gibba and Lemna minor as a novel food and amending Implementing Regulation (EU) 2017/2470
32024R1047,2024-04-09,Commission Implementing Regulation (EU) 2024/1047 of 9 April 2024 authorising the placing on the market of 3′-Sialyllactose sodium salt produced using a derivative strain of Escherichia coli W (ATCC 9637) as a novel food and amending Implementing Regulation (EU) 2017/2470
32024R1027,2024-04-08,Commission Implementing Regulation (EU) 2024/1027 of 8 April 2024 amending Implementing Regulation (EU) 2017/2470 as regards the specifications of the novel food galacto-oligosaccharide
32024R1064,2024-04-09,Commission Implementing Regulation (EU) 2024/1064 of 9 April 2024 imposing a provisional anti-dumping duty on imports of certain alkyl phosphate esters originating in the People’s Republic of China
32024R1061,2024-04-10,"Commission Implementing Regulation (EU) 2024/1061 of 10 April 2024 laying down rules for the application of Regulation (EU) 2018/858 of the European Parliament and of the Council as regards the secure exchange of data of the certificate of conformity in electronic format and read-only access to the certificate of conformity, and amending Commission Implementing Regulation (EU) 2021/133"
32024R1541,2024-06-03,Commission Implementing Regulation (EU) 2024/1541 of 3 June 2024 granting a Union authorisation for the biocidal product family Sanoserv H202 in accordance with Regulation (EU) No 528/2012 of the European Parliament and of the Council
32024R1840,2024-06-27,"Commission Implementing Regulation (EU) 2024/1840 of 27 June 2024 amending Commission Implementing Regulations (EU) 2020/1197, (EU) 2022/918 and (EU) 2022/1092, as regards references to the statistical classification of economic activities NACE Revision 2 established by Regulation (EC) No 1893/2006 of the European Parliament and of the Council"
32024R1051,2024-04-02,Commission Implementing Regulation (EU) 2024/1051 of 2 April 2024 entering a name in the register of protected designations of origin and protected geographical indications (Μέλι Κισσούρι/Meli Kissouri (PDO))
32024R1053,2024-04-02,Commission Implementing Regulation (EU) 2024/1053 of 2 April 2024 entering a name in the register of protected designations of origin and protected geographical indications (Wędzone jabłko sechlońskie (PGI))
32024R0403,2024-01-30,Commission Implementing Regulation (EU) 2024/403 of 30 January 2024 amending Implementing Regulation (EU) 2017/373 as regards the definition of SIGMET and certain requirements for special visual flight rules and air traffic control clearances
32024R1054,2024-04-10,"Commission Implementing Regulation (EU) 2024/1054 of 10 April 2024 concerning the authorisation of a preparation of Weizmannia faecalis DSM 32016 as a feed additive for use in feed and in water for drinking for all poultry species reared for laying or breeding and for use in water for drinking for all poultry species for fattening, ornamental birds, suckling and weaned Suidae piglets (holder of the authorisation: Biochem Zusatzstoffe Handels- und Produktionsges. mbH), and amending Implementing Regulation (EU) 2020/1755 as regards the terms of the authorisation of that preparation"
32024R1058,2024-04-10,"Commission Implementing Regulation (EU) 2024/1058 of 10 April 2024 concerning the renewal of the authorisation of a preparation of endo–1,4-beta-xylanase produced by Aspergillus oryzae DSM 33700 as a feed additive for poultry for fattening, weaned piglets, pigs for fattening, lactating sows and laying hens, the change of the terms of the authorisation and authorisation of new uses of that preparation as a feed additive for all poultry species and all Suidae (holder of authorisation: DSM Nutritional Products Ltd, represented by DSM Nutritional Products Sp. z o.o.) and repealing Implementing Regulations (EU) No 1206/2012, (EU) No 2020/995 and (EU) 2020/1034"
32024R1810,2024-07-01,Commission Implementing Regulation (EU) 2024/1810 of 1 July 2024 concerning the renewal of the authorisation of a preparation of Lentilactobacillus buchneri DSM 22501 as a feed additive for all animal species and amending Implementing Regulation (EU) No 1113/2013
32024R1570,2024-06-04,"Commission Implementing Regulation (EU) 2024/1570 of 4 June 2024 amending Implementing Regulation (EU) 2022/423 laying down the technical specifications, measures and other requirements for the implementation of the decentralised IT system referred to in Regulation (EU) 2020/1784 of the European Parliament and of the Council"
32024R1855,2024-07-03,Commission Implementing Regulation (EU) 2024/1855 of 3 July 2024 laying down rules for the application of Directive 2009/103/EC of the European Parliament and of the Council as regards the template for the claims-history statement
32024R2167,2024-08-19,Commission Implementing Regulation (EU) 2024/2167 of 19 August 2024 amending Annex I to Implementing Regulation (EU) 2023/594 laying down special control measures for African swine fever
32024R1853,2024-06-26,Commission Implementing Regulation (EU) 2024/1853 of 26 June 2024 entering a name in the register of protected designations of origin and protected geographical indications (Lofotlam (PGI))
32024R0393,2024-01-26,"Commission Implementing Regulation (EU) 2024/393 of 26 January 2024 amending Annexes II, IV, IX and X to Implementing Regulation (EU) 2021/404 as regards the lists of third countries or territories, or zones thereof, authorised for the entry into the Union of consignments of certain ungulates and germinal products thereof from New Zealand, South Africa and the United Kingdom, and correcting Annexes V and XXII thereto as regards the list of third countries or territories, or zones thereof, authorised for the entry into the Union of consignments of poultry and germinal products thereof and for the transit through the United Kingdom of consignments originating and returning to the Union"
32024R1055,2024-04-10,Commission Implementing Regulation (EU) 2024/1055 of 10 April 2024 concerning the authorisation of iron(II) – betaine complex as a feed additive for all animal species
32024R1057,2024-04-10,Commission Implementing Regulation (EU) 2024/1057 of 10 April 2024 concerning the authorisation of a preparation of 6-phytase produced by Komagataella phaffii CGMCC 7.19 as a feed additive for all poultry species for fattening or reared for laying and ornamental birds (holder of authorisation: Nutrex N.V.)
32024R1056,2024-04-10,"Commission Implementing Regulation (EU) 2024/1056 of 10 April 2024 concerning the authorisation of riboflavin 5’-phosphate monosodium salt (vitamin B2), produced by Bacillus subtilis KCCM 10445, as a feed additive for all animal species"
